PercAccuracy,Rep1,ParticipantPublicID,Sharing,True1,SM
22,0,1,37,0,0.475
22,1,1,40,1,0.475
100,1,1,100,1,0.475
99,0,1,99,1,0.475
60,1,1,17,0,0.475
79,1,1,81,1,0.475
17,0,1,5,0,0.475
63,1,1,79,1,0.475
37,1,1,21,0,0.475
33,1,1,21,0,0.475
83,0,1,67,0,0.475
95,0,1,63,1,0.475
82,0,1,64,0,0.475
62,0,1,69,1,0.475
100,0,1,72,1,0.475
87,0,1,5,0,0.475
63,0,1,1,0,0.475
56,1,1,88,1,0.475
80,1,1,89,1,0.475
98,1,1,99,1,0.475
9,1,1,7,0,0.475
97,0,1,57,0,0.475
93,0,1,75,1,0.475
86,0,1,22,1,0.475
80,0,1,85,1,0.475
23,0,1,59,1,0.475
60,1,1,6,0,0.475
100,1,1,6,1,0.475
22,1,1,25,0,0.475
20,0,1,22,0,0.475
26,0,1,100,0,0.475
51,0,1,30,0,0.475
9,1,1,1,0,0.475
11,1,1,1,0,0.475
34,1,1,2,0,0.475
99,1,1,81,0,0.475
23,1,1,71,0,0.475
4,0,1,3,0,0.475
64,1,1,61,0,0.475
95,0,1,81,0,0.475
73,0,1,63,1,0.475
85,0,1,10,1,0.475
96,1,1,100,1,0.475
35,0,1,7,0,0.475
99,1,1,82,0,0.475
6,0,1,6,0,0.475
95,0,1,83,1,0.475
3,0,1,6,0,0.475
18,1,1,22,0,0.475
81,1,1,100,1,0.475
95,0,1,79,1,0.475
82,1,1,26,1,0.475
21,0,1,64,1,0.475
99,0,1,80,1,0.475
20,1,1,12,1,0.475
100,0,1,100,1,0.475
77,1,1,61,1,0.475
80,1,1,5,0,0.475
99,1,1,94,1,0.475
85,1,1,72,1,0.475
1,0,2,1,0,0.4042
82,1,2,1,1,0.4042
22,1,2,1,1,0.4042
80,1,2,1,1,0.4042
8,0,2,1,0,0.4042
5,0,2,52,1,0.4042
2,1,2,1,0,0.4042
78,0,2,1,1,0.4042
3,0,2,1,0,0.4042
59,0,2,1,0,0.4042
5,1,2,1,0,0.4042
98,0,2,1,1,0.4042
83,0,2,1,0,0.4042
1,1,2,1,1,0.4042
79,0,2,1,1,0.4042
19,1,2,1,0,0.4042
2,1,2,1,0,0.4042
39,1,2,1,1,0.4042
82,1,2,15,1,0.4042
79,1,2,11,1,0.4042
6,1,2,1,0,0.4042
19,1,2,1,0,0.4042
25,1,2,1,1,0.4042
80,1,2,1,1,0.4042
60,0,2,1,1,0.4042
78,0,2,1,1,0.4042
62,0,2,18,0,0.4042
94,0,2,1,1,0.4042
2,1,2,1,0,0.4042
4,1,2,1,0,0.4042
23,1,2,1,0,0.4042
70,1,2,1,0,0.4042
1,1,2,1,0,0.4042
2,1,2,1,0,0.4042
4,0,2,1,0,0.4042
5,0,2,1,0,0.4042
57,0,2,1,0,0.4042
34,1,2,1,0,0.4042
89,0,2,1,0,0.4042
6,0,2,1,0,0.4042
78,1,2,1,1,0.4042
98,1,2,1,1,0.4042
83,0,2,12,1,0.4042
81,1,2,1,0,0.4042
64,0,2,1,0,0.4042
72,1,2,1,0,0.4042
82,0,2,40,1,0.4042
3,0,2,1,0,0.4042
4,1,2,1,0,0.4042
73,0,2,20,1,0.4042
99,1,2,1,1,0.4042
61,0,2,1,1,0.4042
16,0,2,1,1,0.4042
98,1,2,1,1,0.4042
79,0,2,1,1,0.4042
89,0,2,41,1,0.4042
100,0,2,18,1,0.4042
21,0,2,1,0,0.4042
19,0,2,11,1,0.4042
53,1,2,1,1,0.4042
1,1,3,1,0,0.0938
79,0,3,57,1,0.0938
78,0,3,59,1,0.0938
68,1,3,21,1,0.0938
53,0,3,1,0,0.0938
82,0,3,36,1,0.0938
16,0,3,1,0,0.0938
17,1,3,1,1,0.0938
12,1,3,1,0,0.0938
1,1,3,1,0,0.0938
37,1,3,1,0,0.0938
61,1,3,16,1,0.0938
27,0,3,1,0,0.0938
76,1,3,15,1,0.0938
79,0,3,38,1,0.0938
31,1,3,1,0,0.0938
34,0,3,16,0,0.0938
57,0,3,19,1,0.0938
84,0,3,39,1,0.0938
82,1,3,58,1,0.0938
17,0,3,1,0,0.0938
13,1,3,1,0,0.0938
85,1,3,66,1,0.0938
87,0,3,64,1,0.0938
70,0,3,42,1,0.0938
72,0,3,39,1,0.0938
1,0,3,1,0,0.0938
86,1,3,41,1,0.0938
1,1,3,1,0,0.0938
1,1,3,1,0,0.0938
1,0,3,1,0,0.0938
34,0,3,1,0,0.0938
1,1,3,1,0,0.0938
1,0,3,1,0,0.0938
1,1,3,1,0,0.0938
39,1,3,1,0,0.0938
14,0,3,1,0,0.0938
1,1,3,1,0,0.0938
74,0,3,18,0,0.0938
13,1,3,1,0,0.0938
60,1,3,20,1,0.0938
85,1,3,63,1,0.0938
86,0,3,41,1,0.0938
60,0,3,21,0,0.0938
56,0,3,17,0,0.0938
17,0,3,1,0,0.0938
82,0,3,61,1,0.0938
1,1,3,1,0,0.0938
21,1,3,1,0,0.0938
82,1,3,38,1,0.0938
75,1,3,61,1,0.0938
64,0,3,20,1,0.0938
37,1,3,1,1,0.0938
81,1,3,41,1,0.0938
76,0,3,60,1,0.0938
85,1,3,40,1,0.0938
81,0,3,21,1,0.0938
1,0,3,1,0,0.0938
82,1,3,39,1,0.0938
90,0,3,62,1,0.0938
24,1,4,26,0,0.5424
43,0,4,79,1,0.5424
82,0,4,79,1,0.5424
75,1,4,74,1,0.5424
23,0,4,82,0,0.5424
78,1,4,82,1,0.5424
6,0,4,2,0,0.5424
6,1,4,16,1,0.5424
9,1,4,16,0,0.5424
4,0,4,2,0,0.5424
69,0,4,80,0,0.5424
78,1,4,91,1,0.5424
39,1,4,21,0,0.5424
