PercAccuracy,Rep1,ParticipantPublicID,Sharing,True1,SM
5,1,1,5,1,0.805416667
3,1,1,4,1,0.805416667
3,0,1,3,1,0.805416667
6,0,1,6,1,0.805416667
6,1,1,6,1,0.805416667
3,0,1,3,1,0.805416667
3,1,1,4,1,0.805416667
1,1,1,1,1,0.805416667
4,0,1,4,1,0.805416667
6,0,1,5,1,0.805416667
4,0,1,3,1,0.805416667
5,0,1,6,1,0.805416667
5,1,1,5,1,0.805416667
4,1,1,4,1,0.805416667
3,1,1,3,1,0.805416667
5,1,1,3,1,0.805416667
4,1,1,4,1,0.805416667
3,0,1,4,1,0.805416667
6,1,1,4,1,0.805416667
5,0,1,5,1,0.805416667
6,0,1,5,1,0.805416667
6,0,1,6,1,0.805416667
6,1,1,5,1,0.805416667
5,0,1,5,1,0.805416667
6,0,1,5,1,0.805416667
6,0,1,5,1,0.805416667
6,0,1,4,1,0.805416667
6,0,1,6,1,0.805416667
6,1,1,6,1,0.805416667
6,1,1,4,1,0.805416667
5,1,1,5,0,0.805416667
1,1,1,1,0,0.805416667
4,0,1,3,0,0.805416667
4,1,1,3,0,0.805416667
6,1,1,6,0,0.805416667
5,1,1,4,0,0.805416667
1,0,1,1,0,0.805416667
4,0,1,5,0,0.805416667
6,0,1,5,0,0.805416667
5,1,1,5,0,0.805416667
5,1,1,5,0,0.805416667
6,0,1,5,0,0.805416667
1,0,1,1,0,0.805416667
5,1,1,4,0,0.805416667
1,0,1,2,0,0.805416667
5,1,1,5,0,0.805416667
4,0,1,4,0,0.805416667
3,1,1,5,0,0.805416667
3,1,1,3,0,0.805416667
4,0,1,4,0,0.805416667
3,0,1,3,0,0.805416667
5,0,1,5,0,0.805416667
2,1,1,2,0,0.805416667
1,1,1,1,0,0.805416667
5,1,1,6,0,0.805416667
1,1,1,1,0,0.805416667
1,0,1,1,0,0.805416667
1,0,1,1,0,0.805416667
1,0,1,1,0,0.805416667
6,1,1,6,0,0.805416667
6,0,2,5,1,0.555
3,0,2,4,1,0.555
6,1,2,5,1,0.555
6,1,2,1,1,0.555
5,1,2,2,1,0.555
3,0,2,1,1,0.555
6,1,2,4,1,0.555
6,1,2,4,1,0.555
6,0,2,4,1,0.555
5,0,2,1,1,0.555
6,1,2,3,1,0.555
2,0,2,2,1,0.555
4,0,2,2,1,0.555
6,1,2,3,1,0.555
4,0,2,1,1,0.555
6,1,2,1,1,0.555
6,1,2,3,1,0.555
5,0,2,2,1,0.555
6,0,2,1,1,0.555
6,0,2,1,1,0.555
6,1,2,1,1,0.555
6,0,2,1,1,0.555
6,0,2,1,1,0.555
5,0,2,2,1,0.555
6,1,2,1,1,0.555
6,1,2,1,1,0.555
6,1,2,2,1,0.555
6,1,2,1,1,0.555
6,0,2,1,1,0.555
6,1,2,1,1,0.555
6,1,2,4,0,0.555
6,0,2,1,0,0.555
3,0,2,2,0,0.555
6,1,2,2,0,0.555
6,1,2,3,0,0.555
3,0,2,2,0,0.555
6,1,2,1,0,0.555
4,0,2,5,0,0.555
6,1,2,2,0,0.555
6,1,2,3,0,0.555
6,1,2,4,0,0.555
4,0,2,4,0,0.555
1,1,2,1,0,0.555
2,0,2,2,0,0.555
6,1,2,5,0,0.555
6,1,2,1,0,0.555
5,1,2,4,0,0.555
3,0,2,2,0,0.555
2,0,2,5,0,0.555
6,0,2,1,0,0.555
4,0,2,3,0,0.555
4,0,2,3,0,0.555
1,0,2,1,0,0.555
3,0,2,3,0,0.555
6,0,2,1,0,0.555
1,1,2,1,0,0.555
2,1,2,1,0,0.555
1,1,2,1,0,0.555
5,1,2,4,0,0.555
5,0,2,4,0,0.555
6,1,3,5,1,0.595
4,1,3,1,1,0.595
2,0,3,1,1,0.595
6,0,3,1,1,0.595
3,1,3,2,1,0.595
4,1,3,2,1,0.595
3,1,3,1,1,0.595
5,0,3,1,1,0.595
5,0,3,4,1,0.595
5,0,3,2,1,0.595
1,0,3,1,1,0.595
5,1,3,2,1,0.595
3,0,3,1,1,0.595
3,1,3,1,1,0.595
3,1,3,2,1,0.595
3,0,3,2,1,0.595
4,1,3,2,1,0.595
4,0,3,2,1,0.595
4,0,3,1,1,0.595
6,1,3,2,1,0.595
6,1,3,2,1,0.595
6,1,3,2,1,0.595
6,1,3,2,1,0.595
5,0,3,1,1,0.595
6,0,3,2,1,0.595
6,0,3,2,1,0.595
5,0,3,1,1,0.595
6,1,3,3,1,0.595
6,1,3,5,1,0.595
6,0,3,3,1,0.595
5,1,3,3,0,0.595
1,0,3,1,0,0.595
5,1,3,2,0,0.595
3,0,3,3,0,0.595
6,0,3,1,0,0.595
2,1,3,1,0,0.595
5,0,3,1,0,0.595
5,1,3,2,0,0.595
4,0,3,2,0,0.595
4,0,3,1,0,0.595
2,0,3,1,0,0.595
5,1,3,3,0,0.595
2,0,3,1,0,0.595
3,1,3,1,0,0.595
5,1,3,1,0,0.595
4,0,3,1,0,0.595
4,1,3,2,0,0.595
3,1,3,1,0,0.595
5,1,3,2,0,0.595
3,1,3,2,0,0.595
2,0,3,1,0,0.595
